id;lat;lng;title;reiting;content_text;address;content;cats
2904;59.866097702846;30.2441433558197;Терминал приема опасных отходов «Экобокс»;0;Батарейки;пр. Маршала Жукова, 10;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2905;59.838441343592;30.3764866613769;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Малая Балканская ул., 13А;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2906;60.0537364765693;30.3713850846558;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Придорожная аллея, 24;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2908;60.0013490803712;30.3385109470826;Контейнер для макулатуры;5;Бумага;2-й Муринский пр., 19;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2909;59.9299727882171;30.3650531018525;Контейнер для макулатуры;0;Бумага;Гончарная ул., 6;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2910;59.8133617353188;30.4076318995361;Пункт приёма;5.0;Бумага, Пластик;Санкт-Петербург, Шушары, ул. Ленина, д. 5, (812) 42-42-178;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2911;60.0326825392467;30.6352738815002;Приём батареек в магазине «Всеволожское фото»;0;Батарейки;Ленинградская обл., Всеволожск, Колтушское ш., д. 44, корп.1 («Всеволожский каскад»);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2936;59.9220342592947;30.2852432197128;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Санкт-Петербург, ул. Союза Печатников, д. 28/29;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2937;59.9538965873454;30.313788661377;Полка для книг в Музее артиллерии;0;Иное;парк Александровский, 7;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";6
2938;59.901857;30.424768;Пункт приёма «Димару»;0;Бумага, Пластик;просп. Обуховской Обороны, 73;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2939;60.0312688;30.2685375999999;Пункт приёма «Димару»;5;Бумага;Санкт-Петербург, Макулатурный пр-д, д. 4, (812) 245-01-05;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2940;59.899472;30.40156;Контейнер для сбора вещей от благотворительного магазина «Спасибо»;0;Одежда, Иное;ул. Седова, 11А;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2941;60.0040429684238;30.6079024306885;Контейнер для вторсырья;0;Бумага, Пластик;Верхняя ул., 6;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2942;60.0061014515261;30.6082941362457;Контейнер для вторсырья;0;Бумага, Пластик;ул. Победы, 1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2944;60.0260098779196;30.6296542167352;Контейнер для вторсырья;0;Бумага, Пластик;Ленинградская обл., Всеволожск, ул. Александровская, д. 77, корп. 1, (812) 346-54-63;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2945;60.0242168425264;30.6326529264138;Контейнер для вторсырья;0;Бумага, Пластик;Ленинградская обл., Всеволожск, ул. Александровская, д. 76, (812) 346-54-63;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2946;59.9873366688665;30.3702153825561;Бак для старой одежды «Перемолка»;2.0;Одежда, Иное;Санкт-Петербург, Кушелевская дор., д. 3, корп. 4, 8-911-798-36-06 (Сергей);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2947;59.9881728429956;30.3733949270447;Бак для старой одежды «Перемолка»;0;Одежда, Иное;Санкт-Петербург, Кушелевская дор., д. 5, корп. 2, 8-911-798-36-06 (Сергей);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2950;60.0010067638953;30.2636741349182;Контейнер для сбора вещей от благотворительного магазина «Спасибо»;0;Одежда, Иное;Богатырский пр., 15;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
