"id", "standard_id", "general_type_eng", "detailed_type_eng", "general_type_ru", "detailed_type_ru", "synonymes", "pic", "rsbor_take", "clean_required", "comment"
"44", "", "paper", "check tape", "бумага", "чековая лента", "", "iYtX-rMj8AA.jpg", "0", "1", "Чековая лента – это бумага со специальным покрытием, меняющим цвет в результате нагрева. Печать на ней производится без использования чернил. Именно это термоактивное покрытие делает бумагу непригодной для переработки – его слишком много, а доля целлюлозы в чеке незначительная."
"45", "", "paper", "photo paper", "бумага", "фотобумага", "", "WgKda7EjthQ.jpg", "0", "1", ""
"46", "", "paper", "wallpaper", "бумага", "обои", "", "jrE3XjP06vI.jpg", "0", "1", ""
"47", "", "paper", "sleeve", "бумага", "втулка", "", "Ybq1fBu7jv8.jpg", "0", "1", "Втулки от туалетной бумаги, бумажных полотенец, скотча, фольги и т.п. Это многослойный проклеенный картон, плохо себя ведет при переработке"
"48", "", "paper", "eggs box (cellulose)", "бумага", "яичная коробка (целлюлоза)", "коробка из-под яиц, упаковка от яиц", "0FY54E5YVZA.jpgичн", "0", "1", "Отличная растопка для печи/камина"
"49", "", "paper", "paper cup", "бумага", "бумажный стаканчик", "", "liEEfoAXjhQ.jpg", "0", "1", "такая посуда содержит слой полиэтилена (за счет которого в стаканчики и можно наливать жидкости)"
"50", "", "paper", "paper utencils", "бумага", "бумажная тарелка", "", "zdawW\t210k.jpg", "0", "1", "такая посуда содержит слой полиэтилена (за счет которого в емкость можно наливать жидкости)"
"51", "", "glass", "crystal", "стекло", "хрусталь", "", "Id4MU8NMoZk.jpg", "0", "1", "Хрусталь - свинецсодержащее стекло"
"52", "", "other", "broken ceramics", "иное", "керамика", "", "4-9RwYRwGg0.jpg", "0", "1", ""
"53", "", "other", "broken porcelain", "иное", "фарфор", "", "farfor12aqwQ.jpg", "0", "1", ""
"54", "", "glass", "broken mirror", "cтекло", "битое зеркало", "", "pYGUqNL0MFo.jpg", "0", "1", ""
"55", "", "plastic", "no label plastic", "пластик", "пластик без маркировки", "", "qbR6yfFl9yE.jpg", "0", "1", ""
"56", "3", "plastic", "pvc", "пластик", "поливинилхлорид", "тройка, 3, пвх", "mGAsx0GhwWs.jpg", "0", "1", ""
"57", "6", "plastic", "ps", "пластик", "полистирол", "", "bFJgRVgOqxY.jpg", "0", "1", ""
"58", "", "other", "7 (other)", "иное", "07 (другое)", "", "EzE1iELFkKg.jpg", "0", "1", ""
"59", "1", "plastic", "PET opaque ", "пластик", "пэт непрозрачный", "пластиковая бутылка", "8SWlUSTxPLc.jpg", "0", "1", ""
"60", "1", "plastic", "acid-bright PET", "пластик", "пэт кислотно-яркий", "", "YBNydubihEI.jpg", "0", "1", ""
"61", "", "plastic", "transparant diary cap", "пластик", "прозрачные крышки от молочных продуктов", "", "OGWLMB06HxU.jpg", "0", "1", ""
"62", "", "plastic", "sour cream box", "пластик", "баночки от сметаны с маркировкой PS", "", "Aq7I4AVtaVk.jpg", "0", "1", ""
"63", "", "plastic", "plastic yogurt box", "пластик", "баночки от йогуртов с маркировкой 6/ПС/PS", "", "41bp381byZc.jpg", "0", "1", ""
"64", "", "plastic", "portioned cream box", "пластик", "упаковка от порционных сливок c маркировкой 6/ПС/PS", "", "2ymj1qZNoLQ.jpg", "0", "1", ""
"65", "", "plastic", "food box 6/PS ", "пластик", "коробка от продуктов с маркировкой 6/ПС/PS", "", "x5DUJblZb50.jpg", "0", "1", ""
"66", "", "plastic", "food box 3/PVC ", "пластик", "коробка от продуктов с маркировкой 3/ПВХ/PVC", "", "kVje6BszoFs.jpg", "0", "1", ""
"67", "", "plastic", "eggs box 6/PS", "пластик", "яичная коробка с маркировкой 6/ПС/PS", "яичная коробка ПС, яичная упаковка, упаковка от яиц", "LZxY-y4SCpk.jpg", "0", "1", ""
"68", "", "plastic", "cd box 6/PS", "пластик", "коробки от дисков 6/ПС/PS", "коробка диски", "4t7XOysC1lo.jpg", "0", "1", ""
"69", "", "plastic", "dispenser cap", "пластик", "крышечка с дозатором", "дозатор", "yGJhFQ47LmQ.jpg", "0", "1", ""
"70", "6", "plastic", "disposable plate 6/PS", "пластик", "одноразовые тарелки 6/ПС/PS", "одноразовая тарелка", "paEBFntk8-Y.jpg", "0", "1", ""
"71", "6", "plastic", "disposable cutlery", "пластик", "одноразовые столовые приборы 6/ПС/PS", "одноразовая ложка, одноразовая вилка", "h3HC-TxM49U.jpg", "0", "1", ""
"72", "", "plastic", "bathroom curtains", "пластик", "шторки для ванной ", "шторка", "cp5xd6CTgd0.jpg", "0", "1", "В основном - это 3/ПВХ/PVC"
"73", "2", "plastic", "expanded polyethylene", "пластик", "вспененный полиэтилен", "", "H44cd7DaJZI.jpg", "0", "1", ""
"74", "", "plastic", "foam rubber", "пластик", "поролон", "", "PORI76eZV9_Y.jpg", "0", "1", ""
"75", "", "paper", "pringles box", "бумага", "корпус банки от чипсов Pringles", "принглз, принглс", "gMpYUU7MyRc.jpg", "0", "1", "крышку можно сдать в 5/ПП/РР, дно - в металл"
"76", "", "plastic", "dark styrofoam", "пластик", "пенопласт черный", "пенопласт темный", "edeOgzypB0c.jpg", "0", "1", ""
"77", "", "plastic", "polystyrene box", "пластик", "подложка из вспененного полистирола 6/ПС/PS", "подложка", "1vc31s8oa-Y.jpg", "0", "1", ""
"78", "", "plastic", "doy-pack", "пластик", "упаковка дой-пак", "дой-пак, дойпак", "iEgBYkZiS9s.jpg", "0", "1", ""
"79", "", "plastic", "blanket box", "пластик", "упаковки от одеял, подушек и т.п.", "", "bcY1f1cZHuw.jpg", "0", "1", ""
"80", "", "plastic", "inflatable ring", "пластик", "надувной круг и прочие принадлежности для плавания", "", "Fi7LHQKzZNE.jpg", "0", "1", ""
"81", "", "plastic", "sausage package", "пластик", "упаковка от сосисок", "сосиски", "EioUM_vtrFc.jpg", "0", "1", ""
"82", "", "plastic", "dense office folder", "пластик", "плотная канцелярская папка", "", "jms3q2Ljaxc.jpg", "0", "1", "в основном это 3/ПВХ/PVC"
"83", "", "plastic", "thermoresistant paper", "пластик", "термоусадочная пленка", "", "1vc31s8oa-Y.jpg", "0", "1", ""
"84", "", "plastic", "metallized film", "пластик", "металлизированная пленка", "упаковка от чипсов", "jo7wk553KsI.jpg", "0", "1", "даже при наличии маркировки PP"
"85", "", "plastic", "polypropylene bag", "пластик", "полипропиленовый мешок", "", "zMsSupdUmak.jpg", "0", "1", ""
"86", "", "plastic", "vegetables soft mesh", "пластик", "мягкая сетка от овощей", "сетка", "g0st8HCYEb0.jpg", "0", "1", ""
"87", "", "plastic", "soft package C/", "пластик", "мягкая упаковка (пакеты, пленка) с маркировкой, начинающейся с ""С/""", "", "8C78I5wKrQo.jpg", "0", "1", ""
"88", "", "plastic", "cream/tooth paste tube", "пластик", "тюбик от крема или зубных паст", "тюбик, крем, зубная паста", "UFKDiyaPN2w.jpg", "0", "1", ""
"89", "", "plastic", "water flask 19l", "пластик", "емкость от бутилированной воды 19 л.", "19 л", "yozgLOMRNM0.jpg", "0", "1", ""
"90", "", "plastic", "butter package", "пластик", "упаковка от масла, маргарина и т.п.", "масло, маргарин", "2FS-nWKA2Nw.jpg", "0", "1", ""
"91", "5", "plastic", "Expanded polypropylene", "пластик", "вспененный полипропилен, маркировка 5/ПП/РР", "", "fKKOcbCSieg.jpg", "0", "1", ""
"92", "", "metal", "balloon", "пластик", "баллончик", "", "41bp381byZc.jpg", "0", "1", ""
"93", "", "metal", "not crumpled foil", "metal", "фольга немятая", "", "OqSRSq0gv7g.jpg", "0", "1", "с любой маркировкой"
"94", "", "metal", "crumpled foil", "metal", "фольга мятая", "", "50112DSerew.jpg", "0", "1", ""
"95", "", "plastic", "sponge", "plastic", "губка для мытья посуды", "губка", "_VPDZDvajLg.jpg", "0", "1", ""
"96", "", "plastic", "filter jug", "пластик", "фильтр-кувшин", "фильтр", "StgaTfwe-7Y.jpg", "0", "1", ""
"97", "", "plastic", "filter jug cartridge", "пластик", "сменный картридж для фильтра-кувшина", "", "Kk7Ym3_Vi0w.jpg", "0", "1", ""
"98", "", "plastic", "latex gloves", "пластик", "резиновые перчатки", "", "Dtf_IIvqVm0.jpg", "0", "1", ""
"99", "", "plastic", "springe", "пластик", "шприц", "", "aluz9K8-NHo.jpg", "0", "1", ""
"100", "", "metal", "springe needle", "пластик", "игла от шприца", "игла шприца", "zdawWwWEt210k.jpg", "0", "1", ""
"101", "", "plastic", "clipper tape", "пластик", "клипсаторная лента", "", "H44cd7DaJZI.jpg", "0", "1", ""
"102", "", "plastic", "pills blister", "пластик", "блистер от таблеток", "", "vuJ8q_sNf_A.jpg", "0", "1", ""
"103", "", "metal", "battery", "батарейки", "батарейка", "батарейки", "Ws1bDoE-vsA.jpg", "0", "1", ""
"104", "", "plastic", "floppy", "пластик", "дискета", "дискеты", "LV9HfICJAj4.jpg", "0", "1", ""
"105", "", "plastic", "аudio cassette", "пластик", "аудиокассета", "аудиокассеты", "IDgGvtCIrq4.jpg", "0", "1", ""
"106", "", "plastic", "video cassette", "пластик", "видеокассета", "видеокассеты", "RaeD81xeKcc.jpg", "0", "1", ""
"107", "", "lamps", "Incandescent lamp", "иное", "лампа накаливания", "обычная лампочка", "9hnqUJMW6to.jpg", "0", "1", ""
"108", "", "glass", "thermometer", "стекло", "градусник", "", "1WaHAPWiO6o.jpg", "0", "1", ""
"109", "", "danger", "mercury lamp", "опасные отходы", "ртутная лампа", "", "DbNBFntk8-Y.jpg", "0", "1", ""
"110", "", "lamps", "energy-saving lamp", "опасные отходы", "энергосберегающая лампа", "энергосберегающая лампочка", "F_-YQXpJq2w.jpg", "0", "1", ""
"111", "", "other", "razor", "пластик", "бритвенный станок", "", "lijs87EgOF8.jpg", "0", "1", ""
"112", "", "mix", "phone charger", "бытовая техника", "зарядка для телефонов и т.п.", "телефонная зарядка", "YZ3qFPvB91g.jpg", "0", "1", ""
"113", "", "plastic", "discount card", "пластик", "скидочная карта", "", "c_a20DAEoGE.jpg", "0", "1", ""
"114", "", "plastic", "bank card", "пластик", "банковская карта", "", "jrE3SWXjP06vI.jpg", "0", "1", ""
"115", "", "other", "lighter", "иное", "зажигалка", "", "mSAXvt-yjKQ.jpg", "0", "1", ""
"116", "", "plastic", "Felt-tip pen", "пластик", "фломастер", "", "9eI76eZV9_Y.jpg", "0", "1", ""
"117", "", "plastic", "pen", "пластик", "ручка", "", "RrZSZ9Qd9kc.jpg", "0", "1", ""
"118", "", "clothes", "clothes", "одежда", "одежда", "", "WDR1fBu7jv8.jpg", "0", "0", ""
"119", "", "danger", "mercury thermometer", "опасные отходы", "ртутный термометр", "", "1WaHAPWiO6o.jpg", "0", "1", ""
"120", "", "danger", "accumulator", "опасные отходы", "аккумулятор", "", "acc1fBu7jv8.jpg", "0", "1", ""
"121", "", "danger", "varnishes and paints", "опасные отходы", "лаки и краски", "лаки, краски", "laeBFntk8-Y.jpg", "0", "1", ""
"122", "", "appliances", "appliances", "бытовая техника", "", "", "EMWI76eZV9_Y.jpg", "0", "1", ""
"123", "", "paper", "fax paper", "бумага", "пленка для факса", "", "34NSw1sfTbw.jpg", "0", "0", ""
"124", "", "paper", "tracing paper", "бумага", "калька", "", "5060105013355_Z.jpg", "0", "0", ""
"125", "", "plastic", "disposable plastic cup", "пластик", "пластиковый стаканчик", "", "7SWphGyIEBTI.jpg", "0", "", ""
