id;lat;lng;title;reiting;content_text;address;content;cats
6571;55.684854;37.5712614;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Профсоюзная ул., 5/9;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6572;55.682793;37.576107;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Кедрова ул., 19;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6583;55.759962;37.614114;Пункт РСО;0;Бумага, Пластик;ул. Большая Дмитровка, 5/6с3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
6591;55.567209;37.5694980000001;МКМ-Логистика Грина, 7;5;Бумага, Пластик;ул. Грина, 7;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
6593;55.7904502400117;37.781572098114;"контейнер для пластика ООО ""Хартия""";5;Пластик;2-ая Парковая ул., 16;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
6609;55.3050879;38.7016401;Экогород;0;Бумага;ул. Заводская, 5А;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
6621;55.676154;37.598218;"Контейнеры от ООО ""МКМ-Логистика""";5;Бумага, Стекло, Пластик, Металл;Нагорная ул., 28к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6622;55.6781652;37.6033688;"Контейнеры от ООО ""МКМ-Логистика""";5;Бумага, Стекло, Пластик, Металл;Нагорная ул., 21 корпус 1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6623;55.677489;37.601386;"Контейнеры от ООО ""МКМ-Логистика""";5;Бумага, Стекло, Пластик, Металл;Нагорная ул., 23к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6627;55.3068505;38.7027362;Eco-vmr;1;Иное;Воскресенск, Конная ул., д. 17;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";6
6632;55.6794314855738;37.6000252858444;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Нагорная ул., 22к3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6652;55.674693;37.59315;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Нагорный б-р, 3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6655;55.6710677258451;37.5994162380981;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Нагорный б-р, 24;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6660;55.5904939647274;37.3689842334428;"КОНТЕЙНЕР ДЛЯ ПЛАСТИКА И АЛЮМИНИЯ №133 ООО ""МЖС ГРУП""";0;Пластик, Металл;Солнечная ул., 9;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";3_4
6662;55.688018;37.5964839000001;"Контейнеры от ООО ""МКМ-Логистика""";5;Бумага, Стекло, Пластик, Металл;Большая Черемушкинская ул., 11к3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
